Název,Kód lékárny,Kód prac.,IČZ,Vedoucí lékárník,Město,Ulice a č.p.,PSČ,Telefon,Fax,E-mail,Www
Lékárna Na Záchrance,61995780,61584000000,61584000,Mgr. Lenka Kračmarová,Hradec Králové,Hradecká 1690/2a,500 12,495755257,0,nazachrance@khl.cz,http://www.khl.cz
Dr.Max LÉKÁRNA,61995670,61549000001,61549000,Mgr. Marta Novotná,Hradec Králové,Jeronýmova 750,500 02,495511191,0,hradec.jeronymova@drmax.cz,http://www.drmax.cz
Herba,61995520,61552000000,61552000,Mgr. Kateřina Jelínková,Hradec Králové,Jiřího Purkyně 742,500 02,495533285,0,lekarnaherba@seznam.cz,
Lékárna Věkoše,61995460,61528000000,61528000,PharmDr. Milan Dvořáček,Hradec Králové,K Sokolovně 309,503 41,495215063,495 215 063,vekose@ipcnet.cz,http://www.ipcgroup.cz
Pilulka Lékárna,61995820,61586000000,61586000,Mgr. Lenka Klímová,Hradec Králové,Karla Hynka Máchy 637/2,500 02,778483910,0,pilulka.hradeckmachy@gmail.com,https://www.pilulka.cz/pilulka-lekarna-hradec-kralove-k-h-machy
Dr.Max LÉKÁRNA,61995450,61577000000,61577000,PharmDr. Martina Kvašinská,Hradec Králové,Karla IV. 468,500 02,495211131,0,hradec.karla@drmax.cz,http://www.drmax.cz
OC Hypernova,61995590,61563000000,61563000,Mgr. Marcela Komárková,Hradec Králové,Kutnohorská 226,500 04,495522437,0,lekarna@sija.cz,http://www.moje-lekarna.cz
Lékárna Galenus,61995090,61505000000,61505000,Mgr. Markéta Troppová,Hradec Králové,Mánesova 646/16,500 02,495522076,495 522 076,karel.licka@tiscali.cz,
Lékárna Pod Strání s.r.o.,61995070,61517000000,61517000,PharmDr. Aleš Matula,Hradec Králové,Milady Horákové 549/53,500 06,495268803,0,a495268803@iol.cz,http://www.lekarnapodstrani.cz
Svatojánská lékárna,61995400,61561000001,61561000,PharmDr. Jitka Libřická,Hradec Králové,Pešinova 153,500 08,495264701,0,svatojanska@ipcnet.cz,http://www.ipcgroup.cz
Dr.Max LÉKÁRNA,61995660,61565000000,61565000,PharmDr. Branislav Barčík,Hradec Králové,Pilnáčkova 436/11,500 03,495445012,0,hradec@drmax.cz,http://www.drmax.cz
BENU Lékárna,61995110,61571000000,61571000,Mgr. Kamila Pourová,Hradec Králové,Pospíšilova 390,500 03,731638095,0,hradec.pospisilova@benu.cz,http://www.benu.cz
Lékárna Kuklenka,61995860,61542000002,61542000,Mgr. Eva Marková,Hradec Králové,Pražská třída 291/41,500 04,495535550,0,,http://www.lekarna-tara.cz
Dr.Max LÉKÁRNA,61995710,61569000000,61569000,Mgr. Dobromil Šejbl,Hradec Králové,Rašínova 1669,500 02,495582507,0,hradec3@drmax.cz,http://www.drmax.cz
Lékárna Na Nádraží,61995650,61554000000,61554000,PharmDr. Iveta Joštová,Hradec Králové,Riegrovo náměstí 914/2,500 02,495582670,0,lekarna@medika.cz,http://www.medika-hk.cz
Dr.Max LÉKÁRNA,61995280,61568000000,61568000,PharmDr. Lenka Kordová,Hradec Králové,S. K. Neumanna 329,500 02,495510652,0,hradec4@drmax.cz,http://www.drmax.cz
Fakultní nemocnice-nemocniční lékárna,61995050,61502000000,61502000,Mgr. Jiří Kotlář,Hradec Králové,Sokolská 581,500 05,495832643,495 832 080,lekarna@fnhk.cz,http://www.fnhk.cz
Pilulka Lékárna,61995790,61585000000,61585000,Mgr. Pavlína Lámusová,Hradec Králové,Štefánikova 454/28a,500 11,773071529,0,Pilulka.hradeck@gmail.com,https://www.pilulka.cz/pilulka-lekarna-hradec-kralove
Lékárna V Lipkách,61995510,61535000000,61535000,PharmDr. Marek Šafář,Hradec Králové,Střelecká 880/53,500 02,495536073,0,v_lipkach@volny.cz,
Lékárna u polikliniky III,61995490,61541000000,61541000,PharmDr. Magda Čabanová,Hradec Králové,třída Dr. E. Beneše 1549,500 12,495404963,0,lekarna.poliklinika3@seznam.cz,
Tilia,61995410,61514000001,61514000,RNDr. Marie Řehulová,Hradec Králové,třída Edvarda Beneše 1412/35,500 12,495274828,0,lekarnatilia@centrum.cz,http://www.lekarna.zdravcentra.cz/tilia/
Lékárna NIKO,61995440,61543000000,61543000,PharmDr. Marta Tichá,Hradec Králové,třída Edvarda Beneše 577/86,50012,495271656,495 271 656,niko@ipcnet.cz,"http://www.lekarny-ipc.cz, http://www.lekarnyipc.cz, http://www.lekarna-ipc.cz, http://www.lekarnaipc.cz"
Lékárna U Karla IV.,61995740,61580000000,61580000,Mgr. Jana Kalenská,Hradec Králové,třída Karla IV. 834/4,500 02,495426073,0,info@lekarnaukarla.cz,http://www.lekarnaukarla.cz
Dr.Max LÉKÁRNA,61995850,61560000001,61560000,PharmDr. Lenka Poláčková,Hradec Králové,třída SNP 593/23,500 03,495407369,0,LEK523@drmax.cz,http://www.drmax.cz
Lékárna za Alessandrií,61995730,61576000000,61576000,PharmDr. Vladimír Gondek,Hradec Králové,třída SNP 638/637,500 03,495425117,0,gondek.vladimir@seznam.cz,
Lékárna REMEDIKA,61995540,61536000000,61536000,Mgr. Zuzana Bubeníčková,Hradec Králové,Veverkova 1631/5,500 02,498500411,0,info@remedika.cz,
Dr.Max LÉKÁRNA,61995760,61582000000,61582000,Mgr. Soňa Radoňová,Hradec Králové,Víta Nejedlého 1063,500 03,495401469,0,hradec.vnejedleho@drmax.cz,http://www.drmax.cz
Lékárna Za skleněnou věží,61995500,64630000001,64630000,Mgr. Lucie Páralová,Hradec Králové,Wonkova 1225/3,500 02,495217301,0,Lekarna.zasklenenouvezi@seznam.cz,http://www.pro-leky.cz
OOVL - Lékárna s.r.o.,61995010,61512000001,61512000,PharmDr. Eva Vykoukalová,Libčany,Libčany 113,503 22,495585371,0,lekarna.chlumec@wo.cz,
U Bílého lva,61995180,61511000000,61511000,PharmDr. Jindřich Hroch,Nechanice,Palackého 61,503 15,495441029,495 441 029,u.bileho.lva@email.cz,
Lékárna U Bílého hada,61995310,61542000001,61542000,PharmDr. Stanislav Malinský,Nový Bydžov,J. Maláta 1873,504 01,495491374,0,lekarna.had@worldonline.cz,
Lékárna U Marka,61995550,61542000000,61542000,PharmDr. Ilona Šťávová,Nový Bydžov,Marka Bydžovského 1123,504 01,495491506,0,lekarna.marek@worldonline.cz,http://www.lekarna-tara.cz
Lékárna Loreta,61995840,61588000000,61588000,PharmDr. Kateřina Kuklová,Nový Bydžov,Masarykovo náměstí 1459/15,504 01,494323770,0,lekarnaloreta@seznam.cz,
Lékárna U bílého páva,61995190,61551000003,61551000,PharmDr. Mario Čeladník,Nový Bydžov,Revoluční třída 500,504 01,495491344,0,mario2@volny.cz,http://www.drmario.cz
Lékárna U Haltufů,61995800,61581000001,61581000,PharmDr. Petr Haltuf,Nový Bydžov,Třída B. Smetany 1214,504 01,495492544,0,lekarna.nb@seznam.cz,
Lékárna Jana,61995810,64628000004,64628000,PharmDr. Věra Blanařová,Předměřice nad Labem,Obránců míru 123,503 02,495530239,0,lekarna.jana@email.cz,http://www.lekarna-jaromer.cz
OOVL - L U Bílého páva,61995190,61551000004,61551000,Mgr. Mario Čeladník,Smidary,U Střediska 100,503 53,495496614,0,mario2@volny.cz,
Smiřická lékárna,61995210,61547000000,61547000,Mgr. Alena Šubrtová,Smiřice,Palackého 48,503 03,495422662,0,info@smirickalekarna.cz,
OOVL L - OC Hypernova,61995590,61563000001,61563000,Mgr. Marcela Komárková,Stěžery,Lipová 380,503 21,577700814,0,lekarna3@sija.cz,http://www.moje-lekarna.cz
Třebechovická lékárna,61995220,61519000000,61519000,Mgr. Jana Pečenková,Třebechovice pod Orebem,Pitrova 1319,503 46,495592005,,trebechovice@ipcnet.cz,http://www.ipcgroup.cz
OOVL - L u Anděla strážce,64995240,64628000002,64628000,Mgr. Michaela Jarošová,Všestary,Všestary 154,503 12,495432097,0,lekarna.vsestary@email.cz,
